Ingredient,Complex Carbohydrates,Iron,B-Vitamins,Magnesium,Adaptogen,Fiber,Low Glycemic Load,Protein,Fiber (Soluble + Insoluble),Prebiotics,Probiotics,BCAAs,Creatine,Antioxidants,Polyphenols,Omega-3,Anti-inflammatory agents,Sodium,Score,Layer,Protein_clean,Fiber_clean
spirulina,1.0,3,3.0,3,0,3.0,2,3.0,3.0,2,0,1,0,3.0,3,1.0,2,,29.0,Protein,60.0,3.6
chia seeds,1.0,1,2.0,2,0,3.0,2,2.0,3.0,2,0,0,0,3.0,2,3.0,3,,28.0,Fiber,16.5,34.4
lentils,3.0,2,3.0,2,0,3.0,2,3.0,3.0,2,0,0,0,2.0,2,1.0,2,,28.0,Fiber,9.0,8.0
red lentils,2.0,3,3.0,3,0,3.0,2,3.0,3.0,2,0,0,0,2.0,2,0.0,2,,27.0,Fiber,26.0,8.0
quinoa,3.0,2,2.0,3,0,3.0,2,3.0,2.0,2,0,1,0,2.0,2,1.0,2,,27.0,Body,,
papaya,3.0,2,2.0,2,0,3.0,2,1.0,3.0,2,0,1,0,3.0,2,1.0,2,,26.0,Body,0.5,1.7
carrot,3.0,2,2.0,2,0,3.0,2,1.0,3.0,2,0,0,0,3.0,2,1.0,2,,26.0,Fiber,0.9,2.8
figs,3.0,2,2.0,2,0,3.0,2,1.0,3.0,2,0,0,0,3.0,3,0.0,2,,26.0,Fiber,0.8,2.9
spinach water,1.0,3,3.0,3,0,3.0,2,1.0,3.0,2,0,0,0,3.0,3,0.0,2,,26.0,Liquid,2.9,2.2
schisandra,1.0,2,3.0,2,2,2.0,2,1.0,2.0,2,0,0,0,3.0,3,1.0,2,,26.0,Liquid,,
kale,1.0,3,2.0,2,0,3.0,2,2.0,3.0,2,0,1,0,3.0,2,1.0,3,,26.0,Body,4.3,2.0
goat yogurt,1.0,2,2.0,2,0,2.0,2,3.0,2.0,2,2,2,0,2.0,2,2.0,2,,26.0,Protein,4.1,
chia & hemp,1.0,2,1.0,2,0,3.0,2,3.0,3.0,2,0,0,0,2.0,2,3.0,2,,26.0,Protein,,
buckwheat flakes,3.0,2,2.0,2,0,3.0,2,2.0,3.0,2,0,0,0,2.0,2,1.0,2,,26.0,Fiber,13.0,10.0
apple,3.0,1,2.0,1,0,3.0,2,1.0,3.0,2,0,0,0,3.0,3,0.0,2,,25.0,Body,0.3,2.4
broccoli,1.0,2,3.0,2,0,3.0,2,2.0,3.0,2,0,0,0,3.0,2,0.0,2,,25.0,Body,2.82,2.6
ground hemp,1.0,2,2.0,2,0,3.0,2,3.0,2.0,0,0,0,0,3.0,2,3.0,2,,25.0,Fiber,,
sweet potato,3.0,2,2.0,2,0,3.0,2,1.0,2.0,2,0,0,0,3.0,2,1.0,2,,25.0,Body,1.6,3.0
dried plums,3.0,2,2.0,2,0,3.0,2,1.0,3.0,2,0,0,0,3.0,2,0.0,2,,25.0,Fiber,2.2,7.1
reishi powder,1.0,2,2.0,2,2,3.0,2,1.0,3.0,2,0,0,0,3.0,2,0.0,2,,25.0,Elevate,,
hemp protein,1.0,2,2.0,2,0,3.0,2,3.0,3.0,0,0,2,0,2.0,2,2.0,2,,24.0,Protein,50.0,
cacao powder,2.0,3,2.0,3,0,3.0,2,1.0,3.0,0,0,0,0,3.0,3,0.0,2,,24.0,Elevate,19.0,37.0
lentil protein,2.0,3,3.0,2,0,3.0,2,3.0,3.0,0,0,2,0,2.0,1,1.0,2,,24.0,Protein,25.0,25.0
beetroot,2.0,1,1.0,2,0,3.0,2,1.0,3.0,2,0,1,0,3.0,3,0.0,2,,24.0,Fiber,1.6,2.8
sauerkraut,1.0,2,2.0,2,0,3.0,2,1.0,3.0,2,2,0,0,2.0,2,0.0,2,,24.0,Fiber,1.3,4.5
hemp hearts,1.0,2,2.0,2,0,3.0,2,3.0,3.0,0,0,2,0,2.0,2,2.0,2,,24.0,Fiber,30.0,10.0
chia + almond milk,1.0,2,2.0,2,0,3.0,2,2.0,3.0,0,0,0,0,2.0,2,3.0,2,,24.0,Protein,,
barley,3.0,2,3.0,2,0,3.0,2,2.0,3.0,0,0,0,0,2.0,2,0.0,2,,24.0,Fiber,12.0,17.0
rolled oats,3.0,2,2.0,2,0,3.0,2,2.0,3.0,0,0,0,0,2.0,2,1.0,2,,24.0,Fiber,13.0,10.0
apple skin,3.0,1,1.0,1,0,3.0,2,1.0,3.0,2,0,0,0,3.0,3,0.0,2,,24.0,Fiber,0.3,2.4
frozen berries,1.0,1,2.0,1,0,3.0,2,1.0,3.0,2,0,0,0,3.0,3,1.0,2,,24.0,Body,,
celery juice,1.0,2,3.0,2,0,3.0,2,1.0,2.0,2,0,0,0,3.0,2,0.0,3,,24.0,Liquid,,
pear,3.0,2,1.0,2,0,3.0,2,1.0,2.0,2,0,0,0,3.0,3,0.0,2,,24.0,Body,0.4,3.1
edamame,1.0,2,2.0,3,0,3.0,2,3.0,3.0,0,0,0,0,2.0,2,1.0,2,,24.0,Protein,11.0,5.0
jerusalem artichoke,3.0,2,2.0,2,0,3.0,2,1.0,3.0,2,0,0,0,2.0,2,0.0,2,,24.0,Fiber,2.0,1.6
red cabbage,2.0,1,2.0,1,0,3.0,2,1.0,2.0,2,0,0,0,3.0,3,0.0,3,,24.0,Body,1.6,2.1
almond skins,1.0,2,2.0,3,0,3.0,2,2.0,3.0,0,0,0,0,3.0,3,0.0,2,,24.0,Fiber,21.2,12.5
oats,3.0,2,2.0,2,0,3.0,2,2.0,3.0,0,0,0,0,2.0,2,0.0,2,,23.0,Body,13.2,10.6
almond yogurt,1.0,1,2.0,2,0,2.0,2,2.0,2.0,2,2,0,0,2.0,1,1.0,2,,23.0,Protein,2.0,1.0
cauliflower,1.0,2,3.0,2,0,3.0,2,1.0,3.0,2,0,0,0,2.0,2,0.0,2,,23.0,Body,1.92,2.0
beet,2.0,2,2.0,2,0,3.0,2,1.0,3.0,0,0,0,0,3.0,3,0.0,2,,23.0,Body,1.6,2.8
almond butter,1.0,2,2.0,2,0,3.0,2,3.0,3.0,0,0,2,0,2.0,2,1.0,2,,23.0,Protein,21.1,11.0
green banana,3.0,1,2.0,2,0,3.0,2,1.0,2.0,2,0,0,0,2.0,2,0.0,2,,23.0,Fiber,1.3,2.6
spinach,1.0,3,2.0,2,0,3.0,2,2.0,2.0,0,0,0,0,3.0,3,1.0,2,,23.0,Body,2.9,2.2
bamboo fiber,3.0,1,1.0,2,0,3.0,2,1.0,3.0,2,0,0,0,2.0,2,0.0,2,,23.0,Fiber,,
zucchini,1.0,1,2.0,2,0,3.0,2,1.0,3.0,2,0,0,0,3.0,2,0.0,2,,23.0,Body,1.2,1.0
mango,2.0,2,2.0,2,0,3.0,2,1.0,2.0,2,0,0,0,3.0,2,0.0,2,,23.0,Body,0.82,1.6
prunes,3.0,2,2.0,2,0,3.0,2,1.0,2.0,0,0,0,0,3.0,3,0.0,2,,23.0,Fiber,,
cucumber-mint,1.0,1,2.0,2,0,3.0,2,1.0,3.0,2,0,0,0,2.0,3,0.0,2,,23.0,Elevate,0.7,0.5
quinoa flakes,3.0,2,3.0,2,0,3.0,2,2.0,2.0,0,0,0,0,2.0,2,0.0,2,,23.0,Fiber,13.1,7.0
skyr,1.0,2,3.0,2,0,1.0,2,3.0,2.0,2,2,0,0,2.0,1,1.0,1,,23.0,Protein,11.5,
celery,1.0,1,2.0,2,0,3.0,2,1.0,3.0,2,0,0,0,2.0,2,0.0,2,,22.0,Body,0.69,1.6
