keyword,month,kw_count_month,kw_sent_sum,kw_sent_pos_sum,global_total,kw_share_global,kw_sent_share_global,kw_pos_sent_share_global
Coffee,2017-01-01,1,0.9995,0.9995,3,0.3333333333333333,0.33316666666666667,0.33316666666666667
Coffee,2017-02-01,2,1.7487,1.7487,10,0.2,0.17487,0.17487
Coffee,2017-04-01,1,-0.959,0.0,2,0.5,-0.4795,0.0
Coffee,2017-05-01,1,0.9986,0.9986,5,0.2,0.19972,0.19972
Coffee,2017-06-01,2,0.6074999999999999,0.8812,4,0.5,0.15187499999999998,0.2203
Coffee,2017-07-01,1,-0.7269,0.0,5,0.2,-0.14538,0.0
Coffee,2017-08-01,2,0.2339,0.8463,10,0.2,0.02339,0.08463000000000001
Coffee,2017-11-01,2,1.3780999999999999,1.3780999999999999,5,0.4,0.27562,0.27562
Coffee,2017-12-01,3,2.9943,2.9943,7,0.42857142857142855,0.42775714285714284,0.42775714285714284
Coffee,2018-01-01,3,1.9891999999999999,1.9891999999999999,11,0.2727272727272727,0.18083636363636363,0.18083636363636363
Coffee,2018-02-01,3,-1.8666,0.0,10,0.3,-0.18666,0.0
Coffee,2018-03-01,6,0.13940000000000008,1.992,15,0.4,0.00929333333333334,0.1328
Coffee,2018-04-01,4,2.2156000000000002,2.9939,10,0.4,0.22156000000000003,0.29939
Coffee,2018-05-01,1,0.9927,0.9927,16,0.0625,0.06204375,0.06204375
Coffee,2018-06-01,2,0.8728,0.8728,10,0.2,0.08728,0.08728
Coffee,2018-07-01,7,2.0999,3.1281999999999996,19,0.3684210526315789,0.11052105263157894,0.16464210526315787
Coffee,2018-08-01,2,1.3638,1.3638,8,0.25,0.170475,0.170475
Coffee,2018-09-01,4,2.1169000000000002,2.8952,22,0.18181818181818182,0.09622272727272728,0.1316
Coffee,2018-10-01,4,1.0680999999999998,2.0033,13,0.3076923076923077,0.08216153846153845,0.1541
Coffee,2018-11-01,15,8.3247,10.4723,26,0.5769230769230769,0.3201807692307692,0.4027807692307693
Coffee,2018-12-01,5,1.2844,1.889,8,0.625,0.16055,0.236125
Coffee,2019-01-01,12,4.4607,5.7619,22,0.5454545454545454,0.20275909090909092,0.26190454545454545
Coffee,2019-02-01,11,6.599,7.572,20,0.55,0.32995,0.3786
Coffee,2019-03-01,6,-3.5134,0.9471,17,0.35294117647058826,-0.2066705882352941,0.055711764705882356
Coffee,2019-04-01,7,3.4623,4.695500000000001,15,0.4666666666666667,0.23082,0.3130333333333334
Coffee,2019-05-01,12,7.0589,7.6594,24,0.5,0.29412083333333333,0.31914166666666666
Coffee,2019-06-01,7,2.1356,3.5904000000000003,18,0.3888888888888889,0.11864444444444446,0.19946666666666668
Coffee,2019-07-01,5,3.5643000000000002,3.7422,18,0.2777777777777778,0.19801666666666667,0.2079
Coffee,2019-08-01,6,1.1583,3.0968,17,0.35294117647058826,0.06813529411764707,0.18216470588235295
Coffee,2019-09-01,4,0.048799999999999955,0.996,19,0.21052631578947367,0.0025684210526315766,0.052421052631578945
Coffee,2019-10-01,9,5.4307,6.370000000000001,15,0.6,0.3620466666666667,0.42466666666666675
Coffee,2019-11-01,11,7.4346,7.7968,26,0.4230769230769231,0.28594615384615385,0.2998769230769231
Coffee,2019-12-01,4,0.9855999999999999,1.7875999999999999,12,0.3333333333333333,0.08213333333333332,0.14896666666666666
Coffee,2020-01-01,5,2.4101,3.3575000000000004,19,0.2631578947368421,0.12684736842105263,0.17671052631578948
Coffee,2020-02-01,6,5.1825,5.1825,26,0.23076923076923078,0.19932692307692307,0.19932692307692307
Coffee,2020-03-01,6,-0.1753,2.3693,25,0.24,-0.007012000000000001,0.094772
