authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,collectCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1efcca24134fc50ac6de9c8c343afe76~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=98590103&x-expires=1755979200&x-signature=5kKTLhwmRtXvNnu2KLByLy0ARoQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,jayythickness,Day 2 of my smoothie detox ,33100,5712,879500,632,3811,71,R & B style instrument of guitar tune(1254372),Shohei Yamaki,FALSE,2025-06-10T19:11:14.000Z,https://www.tiktok.com/@jayythickness/video/7514400235569843499
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/905accd2a8588f3fa0bf02c4e69bf33e~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=944999cf&x-expires=1755979200&x-signature=fPSUv8WhwHutJIbBkofSxpgrci8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,lets_enjoyasmr,Mango Banana Smoothie 🥭🍌 #asmr #smoothie #recipe #satisfying #fyp #healthysmoothie #viral ,6553,319,209800,12,1236,15,original sound,ONJAH 🖤🌹,TRUE,2025-08-11T15:52:18.000Z,https://www.tiktok.com/@lets_enjoyasmr/video/7537356366906690838
https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/61aa34c41255414b2a1d36c521928899~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d1c8e4e8&x-expires=1755979200&x-signature=Z2NNa76gbMnjKjxud3oWuNXjTdc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,smoothiedetox21,"🤩🔥 FLAT STOMACH WITH TROPICAL SMOOTHIE

👉 Type “Flat"" If You Want To Get FREE 5-DAY DETOX PLAN

💝 21-DAY GREEN SMOOTHIE WEIGHT LOSS provides simple detox smoothie recipes to help you change your waist effectively⚡

#healthyrecipe #smoothies21diet #smoothierecipes",1424,447,98500,48,1063,14,original sound,smoothiedetox21,TRUE,2025-04-12T14:07:31.000Z,https://www.tiktok.com/@smoothiedetox21/video/7492427881700740383
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/099ba4ebf0680fa9676cdb1ee51f4583~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=28119e5e&x-expires=1755979200&x-signature=TiJyViKAtJTAYc09PaIJbf4KCeo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,nadiatsvyk,Healthy smoothie 🫐🍌🍓#smoothie #fyp #viral #recipe #recipe #foryou #foryoupage,1700000,141800,41800000,5412,295300,24,πρωτότυπος ήχος,Μαρίνα Σπανού,TRUE,2025-04-05T18:43:50.000Z,https://www.tiktok.com/@nadiatsvyk/video/7489901673469512983
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/f06cd8adf65fdd2b42e0f13b1bbf503d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=3cd346ad&x-expires=1755979200&x-signature=UdwuQ831Ex3N8radZPaHyNzHp0k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,ktrivz,"high protein strawberry smoothie 🍓

350cals 36g P / 14g F / 21g C

1cup frozen strawberry
1tbsp of natural peanut butter 
1cup of almond milk 
1-1.5 scoops of vanilla protein powder, i use @Clean Simple Eats 

#highproteinmeals #smoothie #smoothierecipe #proteinshake #highproteinsmoothie #highproteinsmoothie ",36300,2455,1200000,293,24700,28,original sound,🤍🥥S•phia🐚🍨,TRUE,2024-06-17T20:55:07.000Z,https://www.tiktok.com/@ktrivz/video/7381578621028273414
https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/05f0a9e93dfc22a995955d7433ec85c0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ef3f94eb&x-expires=1755979200&x-signature=gQ%2B5V4ORWXd9DeCxA721MgwSILM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,pandapandashoww,#smoothie #powersmoothie #pines #southflorida ,2338,10,160600,27,74,15,luther,Kendrick Lamar & SZA,FALSE,2025-02-25T19:05:16.000Z,https://www.tiktok.com/@pandapandashoww/video/7475434602149006635
https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/642bc82fe4d4f478d09b6c09646c6f76~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=b98635fc&x-expires=1755979200&x-signature=%2Br7Py5flZQIVas6Bmt9K%2Bk2ywig%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,lala_sadii,Reply to @little_dragster_123 this is how I usually make a smoothie! Without acting💗 #foryou #fyp #viral #smoothie #morning,5600000,8492,31600000,27800,124700,59,original sound,Lala,TRUE,2021-08-26T03:23:40.000Z,https://www.tiktok.com/@lala_sadii/video/7000574291708316934
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/90a7fc139971daa05c0660f7ef21d826~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=f8142b8d&x-expires=1755979200&x-signature=CQ3mCaDihl8ThOiorISPNVtYDLE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,smoothie_guy,"Get more AMAZING smoothie recipes by joining the 21-day Smoothie Diet challenge! Lose weight, reduce bloating, improve skin, increase energy levels and feel your best! LINK IN MY BIO! 👀 💚

Satisfy your cravings guilt-free with my Strawberry Milkshake Smoothie! 🍓 This creamy blend of frozen strawberries, banana, chia seeds, Greek yogurt, and almond milk is a tasty treat that supports weight loss goals. With just 335 calories, it's packed with 22g of protein and 11g of fiber to keep you feeling full and satisfied longer.

Recipe:
- 1 cup frozen strawberries
- 1 ripe banana
- 1 tbsp chia seeds (soaked)
- 1/2 cup Greek yogurt
- 1 cup favorite milk

Total calories: 335

C: 61g | P: 22g | F: 11g | Fiber: 11g

#smoothierecipe #weightloss #healthy #healthyrecipe #strawberrymilkshake ",276600,27000,9200000,1197,165500,10,original sound,The Smoothie Guy,TRUE,2024-05-06T19:49:58.000Z,https://www.tiktok.com/@smoothie_guy/video/7365976250235505953
https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/1c01e42ffeb12f903bf51052a8af7c79~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0c113fd5&x-expires=1755979200&x-signature=%2B6vsRTK4OWOAfmdKRzFoPX3yrB4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,delicious_foodie_6,"Strawberry Smoothie | Sugar-free Healthy
Smoothie Recipe With Milk #fyp #smoothie #heal#recipe #foru ",93500,16600,6400000,834,15500,77,original sound,delicious_foodie_star,TRUE,2025-08-16T05:43:49.000Z,https://www.tiktok.com/@delicious_foodie_6/video/7539054890283257119
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/a16ab80510883e1d01b88c86a9fa875f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=c6b0da3f&x-expires=1755979200&x-signature=EbhyA65GlIFt8o1q0TWJpKCnPsA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,fenitas.nl,How to make the perfect THICK smoothie bowl #smoothie #recipe #nicecream ,205700,4799,3600000,743,38600,27,Sunset,Tobias Bergson,FALSE,2024-04-22T15:36:22.000Z,https://www.tiktok.com/@fenitas.nl/video/7360715701176306977
