place_id,author,rating,time,text,sentiment
ChIJVUDRhwQKkEcRBS11mCXWVSc,Patrick,5,a week ago,"The smoothie was perfect. They make their own almond milk in house for the smoothies. The cold Pressed juices are fresh and have the dates on them that they were made, and they're bottled in glass bottles.",0.325
ChIJg8Fl8AuhmkcR1tjF-xn5Zog,Xavier,5,3 months ago,"Really nice & cute place! Love the Flat White, the Juices (try the „Just Greens“!)
I appreciate the place because they also serve smoothies with proteins 🙌",0.34
ChIJg8Fl8AuhmkcR1tjF-xn5Zog,Pam Fetzer,5,2 weeks ago,"My favorite place in the center of town to grab a quick matcha, fresh juice, or smoothie! The products are super high quality and the staff are very kind and welcoming.",0.3402380952380953
ChIJg8Fl8AuhmkcR1tjF-xn5Zog,Sophia Hunziker,3,a month ago,"Really nice workers and great aesthetic decor, but the smoothie was lacking sadly. The collagen/protein taste was way too overpowering and the price is 15.- cannot be justified considering that it is just fruit with some collagen/protein powder…",0.32499999999999996
ChIJg8Fl8AuhmkcR1tjF-xn5Zog,Zischtigs Club,5,3 months ago,Finally a good juice/smoothie bar in the center of zurich and then right next to Bellevue. That's what was really missing. The smoothie was great and the juices were fresh and delicious. I will be back - it is a lifestyle!,0.30952380952380953
ChIJW-eeB44LkEcR8hTnii7jt8U,Sergi videbook,5,2 months ago,"Visiting Dabo Smoothies was a total surprise. I had walked past it so many times without really paying attention, and never thought about going in… until now. And what a discovery!

From the moment I stepped in, the atmosphere won me over — cozy, relaxed, and full of good vibes. The food was just as impressive: everything I tried was delicious, fresh, and, best of all, healthy. You can really tell they put care into everything they make.

Plus, it’s just around the corner from my house, so I’ll definitely be stopping by often. I’m really glad I decided to give it a try. Highly recommended.",0.37562500000000004
ChIJncjoIRyhmkcRYLPMfGGWep8,behy yavi,5,a month ago,"The Space:
Spacious sitting area, friendly people working there.
The Food:
In Joe & The Juice: When Tuna Fish meets Avocado, they blend into a deliciously grilled sandwich which they have creatively named: ‘Tunacado’! Has a good texture, unlike 99% of tuna sandwiches, this one actually tastes well. And, most importantly: You could have their ‘Pick me Up’ smoothie, which does not chemically collide with it! Kidding: Their combination suits your gut and gives it the good feeling it needs😂!
&
That’s like a good Dane tale, and that I’d tell!
Unwrap the sandwich, and you’d find join therein!",0.6194444444444445
ChIJncjoIRyhmkcRYLPMfGGWep8,Katie Doble,2,a month ago,"We were so excited to see açaí bowls on the menu and added protein powder as it was an option. The açaí was rock solid and the powder was dumped on top vs blended in. When I complained that the bowl wasn’t edible and the powder wasn’t blended in, I got a blank stare, like “what did you expect.” Super disappointing. Especially given the price $$$. My sister got a smoothie and liked it.",0.10092592592592592
ChIJXQZC1wYLkEcRYMBNvRP782A,Loukpad Bansit,4,3 years ago,"#Wheelchair #accessible nice and quick smoothie and friendly for my mom.
If you are looking for toilet where wheelchair accessible and convenience to take care elderly. Just stop here and hide away from a hot day.",0.325
ChIJt2--ZwALkEcRd7Cv_csTI-Q,Dilexshan S,4,2 months ago,"Oakberry is a great place to enjoy healthy, vitamin-rich food and drinks. The atmosphere is modern and inviting, perfect for a quick, nutritious break.

They offer a variety of açaí bowls and smoothies with fresh, high-quality ingredients. While the menu is limited, the options are well-curated and satisfying.

Conveniently located near Jelmoli in Zurich, it’s a great spot for anyone looking to grab something healthy on the go. Highly recommended!",0.4278388278388278
