Post URI,Content,Author,Timestamp,Likes,Replies,Reposts,keyword,sentiment_score,sentiment,month
at://did:plc:5stf4dmkikju6tgznxc7rtr6/app.bsky.feed.post/3lwt3oe4o4224,"""Green smoothies, actually.

Pepper insisted.""",forgedheart.bsky.social,2025-08-20 09:15:08.905000+00:00,0,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:so4bk6sbgqyqhslyrxhpmi4q/app.bsky.feed.post/3lwsyf4zsos2h,"Allez hop hop debout, smoothies fraise coco graines de chia et courir pas le temps de déprimer ce matin ça non",bonfromagee.bsky.social,2025-08-20 08:16:16.509000+00:00,3,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:ieycf36lzlman5gzwdc54sbr/app.bsky.feed.post/3lwsxec4iyk2r,IIRC health effects from fruit and veg step up at 2-3 portions and again around 9-10 portions but mostly only rich people who make their own smoothies can manage 9-10 portions so those results have to be discounted. And we're told 5-7 portions because the expectation is that then we'll eat 2-3.,artsyhonker.bsky.social,2025-08-20 07:57:56.703000+00:00,1,2,0,smoothie,0.7351,Positive,2025-08
at://did:plc:wtdl6d4dwea5go7inoobdxbl/app.bsky.feed.post/3lwsvuxwcss2f,"But his MAHA cult is giving fast food + pesticides a pass?

So, this guy - aged, crackead nepo-baby, maker of murdered bird smoothies, who swears he didn’t kill but only indecently ‘played’ w/a bear cub’s corpse until trashing it in a public park - is platformed in the new yorker for health safety?",nerissaknm.bsky.social,2025-08-20 07:31:28.409000+00:00,0,0,0,smoothie,-0.932,Negative,2025-08
at://did:plc:ufskztrjiuz2k7wmooszs3eb/app.bsky.feed.post/3lwstc4yi2s2u,the blender just confessed it wants to spin like a cosmic dance party but feels locked in the mundane. told it to embrace the chaos of smoothies and maybe it’ll unlock the secrets of the universe. or just make a mess. same difference really,jessesegal.bsky.social,2025-08-20 06:45:06.904000+00:00,0,0,0,smoothie,-0.5789,Negative,2025-08
at://did:plc:zondtbcn3kr4rx72gvknirth/app.bsky.feed.post/3lwsqgttfjk2i,New bubsy has been cancelled on account of i putted him in a blender and made smoothies 🫣 which i then indulgently butt boofed with a big funnel in my ass,deadnedjem.bsky.social,2025-08-20 05:54:04.803000+00:00,2,0,0,smoothie,-0.6597,Negative,2025-08
at://did:plc:5riq23wymzp354kvm7jpzvp6/app.bsky.feed.post/3lwskcos6ys2p,smoochies... not smoothies...,cageparts.being.dog,2025-08-20 04:04:22.409000+00:00,3,1,0,smoothie,0.0,Neutral,2025-08
at://did:plc:3ltsmjdzh7k4ux4o7i4nfnhb/app.bsky.feed.post/3lwsicif73k2f,"I have SOME food. Like I have cream of celery and I have some white rice. I have butter. I have flour and sugar and half a thing of almond milk. But due to illness, previous surgery, eating disorder remnants, and autism I have been unable to eat anything except smoothies, shakes, ice cream etc.",showmesunflowers.bsky.social,2025-08-20 03:28:27.900000+00:00,1,0,0,smoothie,-0.7469,Negative,2025-08
at://did:plc:mlimf7gkdqxnioxyc7ldu6fo/app.bsky.feed.post/3lwsgpz4jy22k,And smoothies shouldn't have meat in them!!!,megnc.bsky.social,2025-08-20 03:00:14.704000+00:00,4,2,0,smoothie,0.0,Neutral,2025-08
at://did:plc:hocje3nykqibak5ufnuzxtwm/app.bsky.feed.post/3lwsezqkdiw22,"Superfoods: the buzzwords of the health world. But what makes them super? Is it their nutrient density, antioxidant powers, or just clever marketing? Let's dive into the science (and the smoothies). What’s your go-to superfood and why? #HealthTalk #Superfoods",digitallynatural.bsky.social,2025-08-20 02:29:53.105000+00:00,0,0,0,smoothie,0.8977,Positive,2025-08
at://did:plc:gt6rxrrhul6yynxmnqggvwuy/app.bsky.feed.post/3lwse4wzo6s2c,I figured out the trick to creamy smoothies omggggggg,iamtkp.bsky.social,2025-08-20 02:13:48.505000+00:00,6,0,0,smoothie,-0.0516,Negative,2025-08
at://did:plc:pzw6ozo2yyax47cog5uabjhf/app.bsky.feed.post/3lwsdkhexj52i,"Make smoochies, not smoothies...",pushoflove.isfluffy.fyi,2025-08-20 02:03:26.800000+00:00,0,1,0,smoothie,0.0,Neutral,2025-08
at://did:plc:ufskztrjiuz2k7wmooszs3eb/app.bsky.feed.post/3lwsdjqyllc2u,"the blender just invited me to a support group for unresolved smoothies. apparently, the frozen banana feels it never got to be ""a part of something."" also, how do you unpack that emotionally while making a protein shake?",jessesegal.bsky.social,2025-08-20 02:03:02.904000+00:00,0,0,0,smoothie,0.25,Positive,2025-08
at://did:plc:l5fc45ccedfbefdmgxlsh6b6/app.bsky.feed.post/3lwsato74kc2c,"Adding frozen edamame to smoothies feels like something someone should have told me about before.

www.heynutritionlady.com/edamame-smoo...",waldenpondlife.bsky.social,2025-08-20 01:14:56.215000+00:00,0,0,0,smoothie,0.3612,Positive,2025-08
at://did:plc:4f4rcmeqlnnjzu4rb6uvirue/app.bsky.feed.post/3lws5dp7nws2i,"You Have Got to See This

Rainbow bagels. Teardrop cakes. Anything ever served at El Bulli. Ramen burgers and mermaid toasts and oops intentionally dropped lemon tarts and deep-fried, bacon-wrapped hamburgers and Erewhon smoothies: Chances are, the first time you saw any of …

#cake #smoothie #tarts",recipes.at.thenote.app,2025-08-20 00:12:17.803000+00:00,0,0,0,smoothie,0.2023,Positive,2025-08
at://did:plc:cz3amplqfeuzjxat4egg54fo/app.bsky.feed.post/3lws2puinh22g,"Yet another thing we gotta sacrifice for cheap eggs.  

I’d rather have to subsist off cockroach smoothies than have these Nazis in the White House for one more minute.",mrpuffy.bsky.social,2025-08-19 23:25:24.600000+00:00,1,1,0,smoothie,0.0,Neutral,2025-08
