Ingredient,Complex Carbohydrates,Iron,B-Vitamins,Magnesium,Adaptogen,Fiber,Low Glycemic Load,Protein,Fiber (Soluble + Insoluble),Prebiotics,Probiotics,BCAAs,Creatine,Antioxidants,Polyphenols,Omega-3,Anti-inflammatory agents,Sodium
coconut water,Low,Low,Low,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,No,
orange juice,Low,Low,Moderate,Low,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,Moderate,
almond milk,Low,Low,No,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,No,
oat milk,High,Low,Moderate,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,Moderate,Moderate,No,No,
green tea,Low,Low,Low,Low,No,Low,Yes,Low,Low,No,No,No,No,High,High,No,High,
cashew milk,Low,Low,Moderate,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,Moderate,
macadamia milk,Low,Low,Low,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,Low,Moderate,
watermelon juice,Moderate,Low,Low,Low,No,Moderate,Yes,Low,Moderate,No,No,No,No,High,High,No,Yes,
maple water,Yes,Low,Yes,Low,No,Yes,Yes,Low,Yes,No,No,No,No,Yes,Yes,No,No,
carrot juice,Moderate,Low,Moderate,Low,No,High,Yes,Low,High,No,No,No,No,High,Moderate,No,Yes,
apple juice,Low,Low,Low,Low,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,No,
banana,High,Low,Moderate,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,Moderate,Low,No,Moderate,
mango,Moderate,Moderate,Moderate,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,High,Moderate,No,Yes,
pineapple,High,Low,Moderate,Moderate,No,High,Yes,Low,Yes,No,No,No,No,Moderate,Moderate,No,Moderate,
dates,High,Moderate,Low,Moderate,No,High,Yes,Low,High,No,No,No,No,High,Moderate,No,Moderate,
peaches,Moderate,Low,Low,Moderate,No,Moderate,Yes,Low,Moderate,No,No,No,No,High,Moderate,No,Moderate,
berries,Moderate,Low,Low,Low,No,High,Yes,Low,Yes,No,No,No,No,High,High,Low,Yes,
apple,High,Low,Moderate,Low,No,High,Yes,Low,High,Yes,No,No,No,High,High,No,Moderate,
papaya,High,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,Low,No,High,Moderate,Low,Yes,
cantaloupe,High,Low,Moderate,Moderate,No,High,Yes,Low,Yes,No,No,No,No,High,Moderate,No,Moderate,
pear,High,Moderate,Low,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,High,High,No,Moderate,
acai puree,Low,Low,Low,Low,No,High,Yes,Low,High,No,No,No,No,High,High,Low,Yes,
rolled oats,High,Moderate,Moderate,Moderate,No,High,Yes,Moderate,High,No,No,No,No,Moderate,Moderate,Low,Moderate,
chia seeds,Low,Low,Moderate,Moderate,No,High,Yes,Moderate,High,Yes,No,No,No,High,Moderate,High,High,
psyllium husk,High,Low,Low,Low,No,High,Yes,Low,High,Yes,No,No,No,Low,Low,No,No,
flaxseed,Low,Moderate,Yes,Moderate,No,High,Yes,Moderate,High,No,No,No,No,High,Moderate,Very High,Yes,
apple skin,High,Low,Low,Low,No,High,Yes,Low,High,Yes,No,No,No,High,High,No,Yes,
beetroot,Moderate,Low,Low,Moderate,No,High,Yes,Low,High,Yes,No,Low,No,High,High,No,Moderate,
barley flakes,High,Moderate,Moderate,Moderate,No,High,Yes,Moderate,High,No,No,No,No,Moderate,Moderate,No,No,
quinoa flakes,High,Moderate,High,Moderate,No,High,Yes,Moderate,Yes,No,No,No,No,Moderate,Moderate,No,Moderate,
pumpkin puree,High,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Moderate,No,Moderate,
figs,High,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,High,High,No,Yes,
