Goal,SmoothieID,Ingredients,Flavor,Total_Score,Total_Protein,Total_Fiber
Digestive Health,DigestiveHealth_1,"spirulina, lentils, kale, spinach water, reishi powder",earthy,134.0,10.0,15.0
Digestive Health,DigestiveHealth_2,"hemp protein, chia seeds, quinoa, celery juice, cucumber-mint",nutty,126.0,10.0,15.0
Digestive Health,DigestiveHealth_3,"goat yogurt, sauerkraut, apple, schisandra, cacao powder",sour,125.0,7.0,13.0
Digestive Health,DigestiveHealth_4,"chia & hemp, red lentils, broccoli, carrot juice, fermented spirulina",earthy,121.0,12.0,14.0
Digestive Health,DigestiveHealth_5,"edamame, apple skin, papaya, pomegranate juice, cacao nibs",fruity,116.0,8.0,15.0
Digestive Health,DigestiveHealth_6,"chia + almond milk, ground hemp, cooked oats, cucumber juice, baobab",nutty,115.0,9.0,14.0
Digestive Health,DigestiveHealth_7,"lentil protein, figs, sweet potato, kombucha, manuka honey",sweet,115.0,7.0,11.0
Digestive Health,DigestiveHealth_8,"skyr, carrot, red cabbage, rooibos tea, turmeric",earthy,113.0,7.0,10.0
Digestive Health,DigestiveHealth_9,"sunflower seed butter, buckwheat flakes, pear, oat milk, nutmeg",nutty,113.0,7.0,15.0
Digestive Health,DigestiveHealth_10,"almond butter, almond skins, oats, ashwagandha, cocoa nibs",bitter,112.0,10.0,14.0
